,Date,Price,Open,High,Low,Change %,M2_Money_Supply,10Y Treasury Yield,Fed Funds Rate,CPI,Inflation_Rate_%,SOFR,Log_Return,Volatility_30D,FedFunds_Change,SOFR_Change,Intraday_Range,FedFunds_Change_Value,Change%_Value
12,2018-06-01,2734.6,2718.7,2736.9,2718.7,1.08%,14109.9,2.91,1.82,251.018,2.8075506935940187,1.81,0.010772361013855602,0.007096589718135263,12.0%,0.0%,18.200000000000273,12.0,1.08
33,2018-07-02,2726.7,2704.9,2727.3,2698.9,0.31%,14144.2,2.89,1.91,251.214,2.854124785561929,2.04,0.0030486148751668074,0.006037938659779705,9.0%,-8.0%,28.40000000000009,9.0,0.31
77,2018-09-04,2896.7,2897.0,2900.2,2885.1,-0.17%,14229.3,3.0,1.95,252.182,2.332055105808828,1.95,-0.0016556866256836516,0.0047498680192642265,4.0%,-2.0%,15.099999999999909,4.0,-0.17
96,2018-10-01,2924.6,2926.3,2937.1,2917.9,0.36%,14241.4,3.15,2.19,252.772,2.492032470218053,2.22,0.0036310114226284604,0.0036325365853141773,24.0%,-3.0%,19.199999999999818,24.0,0.36
118,2018-11-01,2740.4,2717.6,2741.7,2708.8,1.06%,14260.8,3.12,2.2,252.594,2.147328577667773,2.22,0.01052815065626927,0.012765962903835144,1.0%,0.0%,32.899999999999636,1.0,1.06
138,2018-12-03,2790.4,2790.5,2800.2,2773.4,1.09%,14382.6,2.83,2.27,252.767,2.0023809043401064,2.23,0.010881813860721037,0.013241734650796873,7.0%,-5.0%,26.799999999999727,7.0,1.09
157,2019-01-02,2510.0,2477.0,2519.5,2467.5,0.13%,14446.1,2.71,2.4,252.561,1.4875893578291333,3.15,0.0012757137753090192,0.016658818959333587,13.0%,15.0%,52.0,13.0,0.13
197,2019-03-01,2803.7,2798.2,2808.0,2787.4,0.69%,14526.2,2.57,2.41,254.277,1.8831863513063984,2.38,0.006871649386652076,0.00670244927121881,1.0%,-20.0%,20.59999999999991,1.0,0.69
218,2019-04-01,2867.2,2848.6,2869.4,2848.6,1.16%,14554.5,2.53,2.42,255.233,2.000583470209061,2.46,0.011505669229349038,0.006633477647496096,1.0%,-19.0%,20.800000000000182,1.0,1.16
281,2019-07-01,2964.3,2971.4,2977.9,2952.2,0.76%,14853.5,2.06,2.4,255.802,1.826331335037068,2.42,0.007619277983784182,0.007519356254551837,2.0%,-8.0%,25.700000000000273,2.0,0.76
428,2020-02-03,3248.9,3235.7,3268.4,3235.7,0.73%,15467.0,1.5,1.58,259.25,2.34131667975952,1.59,0.00722850052199129,0.006648311120025794,3.0%,-1.0%,32.70000000000027,3.0,0.73
510,2020-06-01,3055.7,3038.8,3062.2,3031.5,0.37%,18141.1,0.73,0.08,257.042,0.7166562831830481,0.06,0.003737709269489785,0.015499933796712407,3.0%,0.0%,30.699999999999818,3.0,0.37
532,2020-07-01,3115.9,3105.9,3128.4,3101.2,0.50%,18298.0,0.62,0.09,258.352,0.9968647625897996,0.11,0.0050191540650128,0.016650293581015895,1.0%,1.0%,27.200000000000273,1.0,0.5
554,2020-08-03,3294.6,3288.3,3302.7,3284.5,0.72%,18364.3,0.65,0.1,259.316,1.2810698495523851,0.1,0.00715844475118823,0.010888109392535872,1.0%,0.0%,18.199999999999818,1.0,0.72
760,2021-06-01,4202.0,4216.5,4234.1,4197.6,-0.05%,20474.7,1.52,0.08,270.71,5.317418943207719,0.01,-0.0004996371786410061,0.0081737629406809,2.0%,0.0%,36.5,2.0,-0.05
782,2021-07-01,4319.9,4300.7,4320.7,4300.7,0.52%,20628.8,1.32,0.1,271.965,5.269167647240969,0.05,0.005198795565080847,0.0051643187366670505,2.0%,0.0%,20.0,2.0,0.52
947,2022-03-01,4306.26,4363.14,4378.45,4279.54,-1.55%,21721.5,2.13,0.2,287.467,8.540780148538584,0.05,-0.015594426756135317,0.014115253773723937,12.0%,0.0%,98.90999999999985,12.0,-1.55
