,Price,Open,High,Low,M2_Money_Supply,10Y Treasury Yield,Fed Funds Rate,CPI,Inflation_Rate_%,SOFR,Log_Return,Volatility_30D,Intraday_Range
Price,1.0,0.9992662398489838,0.9996201437526405,0.9996288919001405,0.8229863228631709,0.5954933997830747,0.5197651297386257,0.8887952834143074,0.2516827898506897,0.5127244607323597,0.029547981431350144,-0.17766715667933725,0.21274829223818367
Open,0.9992662398489838,1.0,0.9996767319642108,0.999600340070843,0.8229677686680099,0.5954105327207628,0.519424953984767,0.8887067609429563,0.2522656961447825,0.5123359972351339,-0.002176471331089447,-0.17885518376142864,0.2151525623020465
High,0.9996201437526405,0.9996767319642108,1.0,0.9993999628259101,0.8258607773089259,0.595434096548821,0.5183492322689732,0.8905411289129072,0.2550135970064204,0.5112058439927227,0.011832198887580149,-0.17084504777245374,0.22993450583792127
Low,0.9996288919001405,0.999600340070843,0.9993999628259101,1.0,0.8201115101788997,0.5959384372953408,0.5213191405251081,0.8870776012426795,0.24896990335355235,0.514278715485842,0.01590180321919212,-0.18639352397671968,0.19608770160345537
M2_Money_Supply,0.8229863228631709,0.8229677686680099,0.8258607773089259,0.8201115101788997,1.0,0.38699645579478464,0.28761844817137266,0.8211811795029136,0.5701029197189079,0.27515643131696543,0.00565416085793805,0.03998830728451341,0.33750968354426053
10Y Treasury Yield,0.5954933997830747,0.5954105327207628,0.595434096548821,0.5959384372953408,0.38699645579478464,1.0,0.9142943793791236,0.8047176583997724,0.1717931961024166,0.909472334497658,-0.005781627995495947,-0.196097563377774,0.11270148184361636
Fed Funds Rate,0.5197651297386257,0.519424953984767,0.5183492322689732,0.5213191405251081,0.28761844817137266,0.9142943793791236,1.0,0.7553816017138696,-0.06791416106754589,0.9976027784672208,0.007101220021186926,-0.20805040309110295,0.027000621870111177
CPI,0.8887952834143074,0.8887067609429563,0.8905411289129072,0.8870776012426795,0.8211811795029136,0.8047176583997724,0.7553816017138696,1.0,0.3404444271525725,0.7462471800406011,0.00106955735501947,-0.0565410260777305,0.2870681492205278
Inflation_Rate_%,0.2516827898506897,0.2522656961447825,0.2550135970064204,0.24896990335355235,0.5701029197189079,0.1717931961024166,-0.06791416106754589,0.3404444271525725,1.0,-0.07887848298591423,-0.0344006453273078,0.0012834896156176706,0.2241490188089259
SOFR,0.5127244607323597,0.5123359972351339,0.5112058439927227,0.514278715485842,0.27515643131696543,0.909472334497658,0.9976027784672208,0.7462471800406011,-0.07887848298591423,1.0,0.007873991446952736,-0.21617292110219472,0.02258554646081894
Log_Return,0.029547981431350144,-0.002176471331089447,0.011832198887580149,0.01590180321919212,0.00565416085793805,-0.005781627995495947,0.007101220021186926,0.00106955735501947,-0.0344006453273078,0.007873991446952736,1.0,0.021834284792675736,-0.1118240946055852
Volatility_30D,-0.17766715667933725,-0.17885518376142864,-0.17084504777245374,-0.18639352397671968,0.03998830728451341,-0.196097563377774,-0.20805040309110295,-0.0565410260777305,0.0012834896156176706,-0.21617292110219472,0.021834284792675736,1.0,0.40046871232774145
Intraday_Range,0.21274829223818367,0.2151525623020465,0.22993450583792127,0.19608770160345537,0.33750968354426053,0.11270148184361636,0.027000621870111177,0.2870681492205278,0.2241490188089259,0.02258554646081894,-0.1118240946055852,0.40046871232774145,1.0
